species_full,species_confirmed,lineage
Angophora costata,angcos,Angophora_Corymbia
Angophora hispida,anghis,Angophora_Corymbia
Corymbia citriodora,corcit,Angophora_Corymbia
Corymbia clarksoniana,corcla,Angophora_Corymbia
Corymbia eximia,corexi,Angophora_Corymbia
Corymbia gummifera,corgum,Angophora_Corymbia
Corymbia intermedia,corint,Angophora_Corymbia
Corymbia pocillum,corpoc,Angophora_Corymbia
Corymbia terminalis,corter,Angophora_Corymbia
Corymbia tessellaris,cortes,Angophora_Corymbia
Eucalyptus amygdalina,eucamy,Eucalyptus
Eucalyptus coccifera,euccoc,Eucalyptus
Eucalyptus delegatensis,eucdel,Eucalyptus
Eucalyptus haemastoma,euchae,Eucalyptus
Eucalyptus mediocris,eucmed,Eucalyptus
Eucalyptus nitida,eucnit,Eucalyptus
Eucalyptus oblonga,eucobl,Eucalyptus
Eucalyptus regnans,eucreg,Eucalyptus
Eucalyptus sparsifolia,eucspa,Eucalyptus
Eucalyptus tenuiramis,eucten,Eucalyptus
Eucalyptus atrata,eucatr,Symphyomyrtus
Eucalyptus camaldulensis,euccam,Symphyomyrtus
Eucalyptus crebra,euccre,Symphyomyrtus
Eucalyptus distans,eucdis,Symphyomyrtus
Eucalyptus dumosa,eucdum,Symphyomyrtus
Eucalyptus fibrosa,eucfib,Symphyomyrtus
Eucalyptus gillii,eucgil,Symphyomyrtus
Eucalyptus globulus,eucglo,Symphyomyrtus
Eucalyptus platyphylla,eucpla,Symphyomyrtus
Eucalyptus pruinosa,eucpru,Symphyomyrtus
Eucalyptus punctata,eucpun,Symphyomyrtus
Eucalyptus rubida,eucrub,Symphyomyrtus
Eucalyptus socialis,eucsoc,Symphyomyrtus
Eucalyptus tereticornis,eucter,Symphyomyrtus
