"","bin_arch_name","total"
"1","abiotic_stress",120398.573187186
"2","ATP_synthase_chloroplastic",1515479.84945457
"3","Calvin_cycle",1832179.25819793
"4","Cytochrome_b6f",204375.39256893
"5","DNA",103954.644398078
"6","glycolysis",285410.123787195
"7","hormone_metabolism",81070.04488822
"8","HSPs",391880.619115693
"9","Light_reactions",118380.98081921
"10","lipid_metabolism",62763.594092826
"11","mitochondrial_electron_transport/ATP_synthesis",214074.505200033
"12","Photorespiration",351670.673594194
"13","Photosystems",3034472.95666871
"14","polyamine_metabolism",876.973408953
"15","protein",1139816.65371758
"16","protein_folding",183127.160697185
"17","PSI",661925.896611212
"18","PSII",2372547.0600575
"19","redox",654746.722090431
"20","RNA",179836.052618677
"21","Rubisco",2366327.2326884
"22","secondary_metabolism",183860.848706309
"23","signalling",110756.007685436
"24","TCA/_org_transformation",206761.252167194
